,names,gs,rd,Home,Team Type,Home Institute,Home Team,Modified Home,Venue Postcode,Lat,Lon,id,league,tier,section
58,Birmingham City Men's 1,1575.8598819530796,52.63263890959833,Birmingham City Men's 1,Men's,Birmingham City,1,Birmingham City,B42 2TP,52.5158,-1.9017,423,Tier1_4,Tier1,4
59,Cardiff Men's 2,1560.6228107735867,50.42362318808337,Cardiff Men's 2,Men's,Cardiff,2,Cardiff,CF14 3AT,51.5199,-3.204,8,Tier1_7,Tier1,7
60,Nottingham Men's 5,1560.6140600205672,50.43104708298101,Nottingham Men's 5,Men's,Nottingham,5,Nottingham,NG7 2PS,52.9536,-1.1505,56,Tier1_4,Tier1,4
61,Exeter Men's 5,1559.2830189579845,50.952548366269816,Exeter Men's 5,Men's,Exeter,5,Exeter,EX4 4QN,50.73776,-3.5297,282,Tier1_7,Tier1,7
62,Dundee Men's 1,1556.940899622931,50.94888970851319,Dundee Men's 1,Men's,Dundee,1,Dundee,DD2 1UQ,56.47777692307693,-3.0589461538461538,350,Tier1_3,Tier1,3
63,York Men's 1,1551.118123496716,50.42699087654226,York Men's 1,Men's,York,1,York,YO10 5NA,53.9576,-1.0827,243,Tier1_6,Tier1,6
64,Stirling Men's 1,1548.5357188875132,51.48502886606165,Stirling Men's 1,Men's,Stirling,1,Stirling,FK9 4LA,56.1436875,-3.9315,540,Tier1_3,Tier1,3
65,Durham Men's 4,1545.3068463428947,50.95461899846416,Durham Men's 4,Men's,Durham,4,Durham,DH1 3SE,54.77482,-1.56714,194,Tier1_5,Tier1,5
66,Surrey Men's 1,1544.6618463864106,49.92107859268761,Surrey Men's 1,Men's,Surrey,1,Surrey,GU2 7AD,51.24385,-0.59775,508,Tier1_1,Tier1,1
67,Bangor Men's 1,1543.7640120635592,50.94617459043142,Bangor Men's 1,Men's,Bangor,1,Bangor,LL57 2EH,53.203925000000005,-4.106675,278,Tier1_6,Tier1,6
68,Loughborough Men's 3,1543.1326832828786,49.92189801252989,Loughborough Men's 3,Men's,Loughborough,3,Loughborough,LE11 3TU,52.76669999999999,-1.2,31,Tier1_4,Tier1,4
69,Birmingham Men's 4,1540.0331657081947,50.95190143315499,Birmingham Men's 4,Men's,Birmingham,4,Birmingham,B15 2GR,52.4623,-1.9212,99,Tier1_2,Tier1,2
70,Bath Men's 3,1536.8313417425527,50.43299274815013,Bath Men's 3,Men's,Bath,3,Bath,BA2 7AY,51.35473913043478,-2.3910565217391304,206,Tier1_2,Tier1,2
71,Reading Men's 2,1535.826295294127,50.42754715762796,Reading Men's 2,Men's,Reading,2,Reading,RG6 6UR,51.4396,-0.9292,225,Tier1_1,Tier1,1
72,Liverpool Men's 2,1535.4633471644745,50.9717528226726,Liverpool Men's 2,Men's,Liverpool,2,Liverpool,L18 6HF,53.3805,-2.9086,148,Tier2_5,Tier2,5
