names,gs,rd
Bristol Women's 4,1210.2217824417655,49.94060822958657
Bangor Men's 2,689.4132804739689,59.65312698237397
Huddersfield Men's 1,641.9839265305258,55.830793416137006
Birmingham Women's 5,1502.3572277855362,51.493034764284445
Oxford Brookes Women's 3,1404.3220834151714,50.41135540124385
Reading Men's 2,1535.826295294127,50.427547157627956
Portsmouth Men's 2,1509.115539721431,49.917455913582316
Royal Veterinary College Men's 1,734.4098313617513,58.05185044486867
Bucks New Men's 1,636.5619437203289,55.187611307214816
Essex Women's 1,1621.4852929590431,50.95712637658941
Imperial Women's 2 (Medics),1626.3224945402094,50.436263866303115
Sheffield Women's 2,1161.3845971095993,51.49443798881985
York Women's 1,1219.4104101981125,50.426663204628305
Plymouth Women's 1,1525.7008083237226,49.92407561478668
Bournemouth Women's 1,1531.0792079027538,49.917290384418806
King's College Men's 2,1468.0409269726047,49.92065801532625
LSE Men's 1,1527.7622965884589,50.970231297440776
Strathclyde Women's 4,631.3708036442878,66.55113876156697
Heriot-Watt Women's 2,690.2386830780553,52.09567135100862
Writtle Women's 1,692.0678837786091,70.40072183317551
UCL Women's 6 (RUMS),637.1018368645807,53.91782843377619
USW Men's 1,926.7156497086985,58.05583193629407
Bath Spa Men's 1,806.5999509513626,59.582288986235
Bristol Men's 1,2300.8740088653813,52.63665227792041
King's College Men's 1 (GKT),2233.3543479217788,52.621178793521295
Imperial Men's 7 (Medics),665.1419043149197,60.47517646824571
UCL Men's 6 (RUMS),653.1658205557453,54.51027781085172
Aberystwyth Men's 1,1097.3216511646983,51.49040385311006
Bristol Men's 5,1218.793302159822,52.039330822276035
Leicester Men's 1,1462.8285739027779,50.4306032199008
Nottingham Men's 5,1560.6140600205672,50.43104708298101
Manchester Men's 3,1221.885750614558,51.4911669253942
Liverpool John Moores Men's 2,1296.295759059613,50.42684135012675
Lincoln Women's 1,1229.1948952493362,50.95319155546591
Warwick Women's 2,1169.0418100222032,50.434590947592596
York Men's 3,931.9374109315116,54.49495622134855
Sheffield Men's 4,920.8875694813873,54.472064446279084
Salford Men's 1,1196.8637925853068,52.05116780062007
Lancaster Men's 2,1203.1427736898104,50.95058190407208
St George's Men's 1,1152.951944539335,50.44806275046599
Queen Mary Men's 1,1081.7246198621924,55.71397644227076
Harper Adams Men's 1,1222.9529947031215,52.0609372560312
East Anglia Men's 1,1239.3137366911722,50.97661981459896
Cardiff Men's 1,2308.3455229596516,52.632661219240035
Reading Men's 1,2329.6522718297265,50.97381701905859
Edinburgh Women's 6,967.8986366101034,51.50165221342176
Glasgow Women's 4,937.8794223899889,52.04666858332642
St Andrews Men's 1,2003.9737896626384,50.42737098430417
Heriot-Watt Men's 1,2002.5506976503625,50.435785795006005
Exeter Men's 2,2352.947633406118,53.212962167049334
Bristol Men's 2,2314.06562100713,49.92748872127757
Exeter Women's 1,3012.684295291839,52.62624516131603
Leeds Beckett Women's 2,1467.178112268481,50.94736803609388
Northumbria Women's 1,1485.13502468763,50.954501592228844
Northumbria Men's 2,707.1676394547768,59.6182302107747
Leeds Beckett Men's 3,622.6537020295365,53.248696240817196
Salford Women's 1,1148.0159104951715,50.958942372285726
Keele Women's 1,1211.548756776081,50.43667835255833
Portsmouth Women's 2,1220.6318530703713,50.45071699598865
Kent Women's 2,1118.1801653123784,52.05199770078317
Surrey Men's 2,898.5289688154712,49.91998182899587
Canterbury CC Men's 2,887.2357325949704,51.49811161284342
Manchester Women's 2,1529.6858110631238,50.96882070081025
Manchester Women's 1,1502.461920695755,51.49479601475303
De Montfort Men's 1,834.8287799592839,54.5462490823635
Worcester Men's 1,803.6340186997136,59.67427942071911
Royal Holloway Men's 2,918.867068357735,53.23602849637214
Sussex Men's 2,908.226102533726,49.935123766621295
Liverpool John Moores Men's 1,1517.2141111621017,50.45115218058855
Sheffield Men's 1,1523.4919394483527,50.42953628946343
Liverpool Women's 1,2312.5178554977965,52.06539343836074
Durham Women's 2,2331.2347273166506,52.62268254672632
Bristol Men's 6,930.0020840964906,54.52140564877334
Exeter Men's 7,947.4020911669372,67.75736128743836
Keele Men's 1,1215.6394784930922,50.950727077219625
Edge Hill Men's 1,1161.5363477284286,49.92884124420311
Dundee Men's 1,1556.940899622931,50.94888970851319
